POS,NAME,TOTAL,AVG
1,Tiger Woods,275,68.75
T2,Dustin Johnson,276,69
T2,Xander Schauffele,276,69
T2,Brooks Koepka,276,69
T5,Jason Day,277,69.25
T5,Webb Simpson,277,69.25
T5,Francesco Molinari,277,69.25
T5,Tony Finau,277,69.25
T9,Jon Rahm,278,69.5
T9,Patrick Cantlay,278,69.5
T9,Rickie Fowler,278,69.5
T12,Bubba Watson,280,70
T12,Justin Thomas,280,70
T12,Matt Kuchar,280,70
T12,Justin Harding,280,70
T12,Ian Poulter,280,70
17,Aaron Wise,281,70.25
T18,Patton Kizzire,282,70.5
T18,Phil Mickelson,282,70.5
T18,Adam Scott,282,70.5
T21,Rory McIlroy,283,70.75
T21,Kevin Kisner,283,70.75
T21,Kyle Stanley,283,70.75
T21,Si Woo Kim,283,70.75
T21,Matthew Fitzpatrick,283,70.75
T21,Jordan Spieth,283,70.75
T21,Lucas Bjerregaard,283,70.75
T21,Thorbjorn Olesen,283,70.75
T29,Bryson DeChambeau,284,71
T29,Charley Hoffman,284,71
T29,Louis Oosthuizen,284,71
T32,Hideki Matsuyama,285,71.25
T32,Gary Woodland,285,71.25
T32,Viktor Hovland,285,71.25
T32,Charles Howell III,285,71.25
T36,Rafa Cabrera-Bello,286,71.5
T36,Patrick Reed,286,71.5
T36,Alvaro Ortiz,286,71.5
T36,Jimmy Walker,286,71.5
T36,Kevin Tway,286,71.5
T36,Henrik Stenson,286,71.5
T36,Tommy Fleetwood,286,71.5
T43,Haotong Li,287,71.75
T43,Keith Mitchell,287,71.75
T43,Keegan Bradley,287,71.75
T46,Andrew Landry,288,72
T46,Kevin Na,288,72
T46,Corey Conners,288,72
T49,Marc Leishman,289,72.25
T49,Kiradech Aphibarnrat,289,72.25
T51,Trevor Immelman,290,72.5
T51,Martin Kaymer,290,72.5
T51,Eddie Pepperell,290,72.5
T51,Cameron Smith,290,72.5
55,Devon Bling,291,72.75
T56,Billy Horschel,292,73
T56,Tyrrell Hatton,292,73
T58,Zach Johnson,293,73.25
T58,Branden Grace,293,73.25
T58,Takumi Kanaya,293,73.25
61,Satoshi Kodaira,294,73.5
T62,Alex Noren,296,74
T62,Emiliano Grillo,296,74
T62,Bernhard Langer,296,74
T62,J.B. Holmes,296,74
CUT,Sandy Lyle,148,74
CUT,Stewart Cink,148,74
CUT,Justin Rose,148,74
CUT,Mike Weir,148,74
CUT,Kevin O'Connell,148,74
CUT,Danny Willett,148,74
CUT,Sergio Garcia,148,74
CUT,Adam Long,149,74.5
CUT,Brandt Snedeker,149,74.5
CUT,Fred Couples,149,74.5
CUT,Charl Schwartzel,149,74.5
CUT,Shugo Imahira,150,75
CUT,Larry Mize,151,75.5
CUT,Shane Lowry,151,75.5
CUT,Matt Wallace,152,76
CUT,Jovan Rebula,152,76
CUT,Michael Kim,154,77
CUT,Paul Casey,154,77
CUT,Vijay Singh,156,78
CUT,Ian Woosnam,156,78
CUT,Jose Maria Olazabal,157,78.5
CUT,Angel Cabrera,157,78.5